Date;Receipt number;Receipt type;Total collected;Payment type;Store
31/12/2020 17.00;4-43888;Sale;2000000;Cash;Crisbar Cisitu
31/12/2020 16.59;38-6002;Sale;4000000;Cash;Crisbar Metro Margahayu
31/12/2020 16.58;29-7940;Sale;6015900;GRAB FOOD;Crisbar Sukajadi
31/12/2020 16.55;27-8649;Sale;9300000;GO FOOD;Crisbar Antapani
31/12/2020 16.54;44-1915;Sale;2000000;GRAB FOOD;Crisbar Cisitu
31/12/2020 16.53;15-33923;Sale;3500000;Cash;Crisbar Jatinangor
31/12/2020 16.53;19-39889;Sale;1800000;Cash;Crisbar Sukapura
31/12/2020 16.52;19-39888;Sale;1800000;Cash;Crisbar Sukapura
31/12/2020 16.51;19-39887;Sale;1900000;Cash;Crisbar Sukapura
31/12/2020 16.51;33-17459;Sale;1500000;Cash;Crisbar Unjani
31/12/2020 16.49;19-39886;Sale;400000;Cash;Crisbar Sukapura
31/12/2020 16.48;44-1914;Sale;3270400;GRAB FOOD;Crisbar Cisitu
31/12/2020 16.48;19-39885;Sale;1750000;Cash;Crisbar Sukapura
31/12/2020 16.48;38-6001;Sale;1350000;Cash;Crisbar Metro Margahayu
31/12/2020 16.47;33-17458;Sale;2050000;Cash;Crisbar Unjani
31/12/2020 16.46;4-43887;Sale;4100000;Cash;Crisbar Cisitu
31/12/2020 16.45;15-33922;Sale;3400000;Cash;Crisbar Jatinangor
31/12/2020 16.42;4-43886;Sale;0;Cash;Crisbar Cisitu
31/12/2020 16.41;38-6000;Sale;1500000;Cash;Crisbar Metro Margahayu
31/12/2020 16.30;23-15186;Sale;1700000;Cash;Crisbar Sukabirus
31/12/2020 16.30;43-3019;Sale;4400000;GO FOOD;Crisbar Unjani
31/12/2020 16.28;38-5999;Sale;3450000;Cash;Crisbar Metro Margahayu
31/12/2020 16.28;33-17457;Sale;4600000;Cash;Crisbar Unjani
31/12/2020 16.27;27-8648;Sale;4966100;GRAB FOOD;Crisbar Antapani
31/12/2020 16.26;38-5998;Sale;2400000;Cash;Crisbar Metro Margahayu
31/12/2020 16.25;33-17456;Sale;1700000;Cash;Crisbar Unjani
31/12/2020 16.24;44-1913;Sale;4500000;GO FOOD;Crisbar Cisitu
31/12/2020 16.23;33-17455;Sale;7100000;Cash;Crisbar Unjani
31/12/2020 16.22;43-3018;Sale;4100000;GO FOOD;Crisbar Unjani
31/12/2020 16.20;33-17454;Sale;2700000;Cash;Crisbar Unjani
31/12/2020 16.19;33-17453;Sale;7400000;SHOPEE PAY;Crisbar Unjani
31/12/2020 16.16;4-43885;Sale;300000;Cash;Crisbar Cisitu
31/12/2020 16.16;4-43884;Sale;300000;Cash;Crisbar Cisitu
31/12/2020 16.15;4-43883;Sale;300000;Cash;Crisbar Cisitu
31/12/2020 16.13;4-43882;Sale;2050000;Cash;Crisbar Cisitu
31/12/2020 16.12;36-6431;Sale;4764200;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 16.11;33-17452;Sale;3500000;Cash;Crisbar Unjani
31/12/2020 16.09;15-33921;Sale;3700000;GRAB FOOD;Crisbar Jatinangor
31/12/2020 16.09;38-5997;Sale;2050000;Cash;Crisbar Metro Margahayu
31/12/2020 16.06;33-17451;Sale;4597500;Cash;Crisbar Unjani
31/12/2020 16.05;15-33920;Sale;3250000;GRAB FOOD;Crisbar Jatinangor
31/12/2020 16.05;15-33919;Sale;1750000;SHOPEE PAY;Crisbar Jatinangor
31/12/2020 16.04;19-39884;Sale;1650000;Cash;Crisbar Sukapura
31/12/2020 16.02;4-43881;Sale;1700000;Cash;Crisbar Cisitu
31/12/2020 16.01;44-1912;Sale;2350000;GOPAY;Crisbar Cisitu
31/12/2020 16.00;4-43880;Sale;2350000;Cash;Crisbar Cisitu
31/12/2020 15.59;27-8647;Sale;3876000;GRAB FOOD;Crisbar Antapani
31/12/2020 15.59;4-43879;Sale;2100000;Cash;Crisbar Cisitu
31/12/2020 15.58;27-8646;Sale;7900000;GRAB FOOD;Crisbar Antapani
31/12/2020 15.56;33-17450;Sale;1800000;Cash;Crisbar Unjani
31/12/2020 15.55;33-17449;Sale;3900000;Cash;Crisbar Unjani
31/12/2020 15.55;4-43878;Sale;6100000;Cash;Crisbar Cisitu
31/12/2020 15.51;33-17448;Sale;1650000;Cash;Crisbar Unjani
